epoch,bce_tversky_loss_metric,dice_bce_loss_metric,dice_coefficient,dice_loss_metric,focal_tversky_loss_metric,iou_score,loss,precision_metric,sensitivity,specificity,tversky_loss_metric,val_bce_tversky_loss_metric,val_dice_bce_loss_metric,val_dice_coefficient,val_dice_loss_metric,val_focal_tversky_loss_metric,val_iou_score,val_loss,val_precision_metric,val_sensitivity,val_specificity,val_tversky_loss_metric
0,0.5495468378067017,0.5495468378067017,0.14596624672412872,0.8540337085723877,0.8879900574684143,0.07984091341495514,0.5495468378067017,0.08177217841148376,0.7694898843765259,0.8123147487640381,0.8540337085723877,0.6904765963554382,0.6904765963554382,0.03221186622977257,0.9677879810333252,0.9757407307624817,0.01637449860572815,0.6904765963554382,0.016932064667344093,0.3364075720310211,0.6692144274711609,0.9677879810333252
1,0.4230548143386841,0.4230548143386841,0.25412049889564514,0.7458796501159668,0.8024564981460571,0.14596523344516754,0.4230548143386841,0.1499057114124298,0.8513848781585693,0.9195532202720642,0.7458796501159668,0.5863710045814514,0.5863710045814514,0.03079351969063282,0.9692064523696899,0.9768132567405701,0.01564136892557144,0.5863710045814514,0.01701042614877224,0.16528202593326569,0.8383371829986572,0.9692064523696899
2,0.38082826137542725,0.38082826137542725,0.3142700791358948,0.6857299208641052,0.7533430457115173,0.18701772391796112,0.38082826137542725,0.19197425246238708,0.881501317024231,0.9384061098098755,0.6857299208641052,0.5435370802879333,0.5435370802879333,0.02872276119887829,0.9712770581245422,0.9783769249916077,0.014577730558812618,0.5435370802879333,0.01781073957681656,0.07535340636968613,0.929649829864502,0.9712770581245422
3,0.3485773503780365,0.3485773503780365,0.3657720983028412,0.6342279314994812,0.7104042172431946,0.22462685406208038,0.3485773503780365,0.23126214742660522,0.8892307281494141,0.9510037899017334,0.6342279314994812,0.5088563561439514,0.5088563561439514,0.07914023846387863,0.9208597540855408,0.9399956464767456,0.04131411388516426,0.5088563561439514,0.05206964537501335,0.16731767356395721,0.9485327005386353,0.9208597540855408
4,0.31485459208488464,0.31485459208488464,0.42174744606018066,0.5782526135444641,0.6628441214561462,0.26796069741249084,0.31485459208488464,0.277692049741745,0.8877336978912354,0.9616926312446594,0.5782526135444641,0.49389106035232544,0.49389106035232544,0.17058508098125458,0.8294149041175842,0.8690279126167297,0.09349489212036133,0.49389106035232544,0.10340419411659241,0.49554243683815,0.9275540709495544,0.8294149041175842
5,0.2832445800304413,0.2832445800304413,0.477040559053421,0.5229594707489014,0.6145572662353516,0.3143315315246582,0.2832445800304413,0.32748618721961975,0.8898829221725464,0.9697124361991882,0.5229594707489014,0.4199691116809845,0.4199691116809845,0.22668389976024628,0.7733160257339478,0.8243896961212158,0.12854260206222534,0.4199691116809845,0.1685272604227066,0.3505550026893616,0.9712207913398743,0.7733160257339478
6,0.2504701316356659,0.2504701316356659,0.5348876118659973,0.4651123583316803,0.5627009868621826,0.36639848351478577,0.2504701316356659,0.3836793899536133,0.8913931846618652,0.9763665199279785,0.4651123583316803,0.371255099773407,0.371255099773407,0.3344873785972595,0.6655126810073853,0.7364068031311035,0.20200516283512115,0.371255099773407,0.238641619682312,0.5665622353553772,0.9695399403572083,0.6655126810073853
7,0.2228344827890396,0.2228344827890396,0.5850649476051331,0.4149349629878998,0.516475260257721,0.4147845506668091,0.2228344827890396,0.4377240240573883,0.8903136849403381,0.981181800365448,0.4149349629878998,0.34666529297828674,0.34666529297828674,0.3729875087738037,0.6270124912261963,0.7037898302078247,0.2315409779548645,0.34666529297828674,0.2894083857536316,0.5308729410171509,0.9780943393707275,0.6270124912261963
8,0.20146024227142334,0.20146024227142334,0.6248635649681091,0.3751365542411804,0.47859877347946167,0.4561734199523926,0.20146024227142334,0.4867190718650818,0.881288468837738,0.9847257733345032,0.3751365542411804,0.24470879137516022,0.24470879137516022,0.5513896942138672,0.4486103355884552,0.5475178360939026,0.38225892186164856,0.24470879137516022,0.451045960187912,0.7164173126220703,0.9854494333267212,0.4486103355884552
9,0.1777399778366089,0.1777399778366089,0.6699206233024597,0.33007946610450745,0.43498629331588745,0.504781186580658,0.1777399778366089,0.5422613024711609,0.8816817998886108,0.9876582622528076,0.33007946610450745,0.3339230418205261,0.3339230418205261,0.4396335184574127,0.5603664517402649,0.6473630666732788,0.28258436918258667,0.3339230418205261,0.29626139998435974,0.8591179847717285,0.9655458927154541,0.5603664517402649
10,0.1580086499452591,0.1580086499452591,0.7064502835273743,0.29354989528656006,0.39833730459213257,0.5471274852752686,0.1580086499452591,0.5904174447059631,0.8837207555770874,0.9899526238441467,0.29354989528656006,0.18054893612861633,0.18054893612861633,0.6698237061500549,0.3301762640476227,0.434562087059021,0.5058515667915344,0.18054893612861633,0.5563538074493408,0.8455423712730408,0.9886854290962219,0.3301762640476227
11,0.14347821474075317,0.14347819983959198,0.7341889142990112,0.2658110558986664,0.36965999007225037,0.5810971260070801,0.14347821474075317,0.6299776434898376,0.8827022910118103,0.9914897680282593,0.26581108570098877,0.15838292241096497,0.15838292241096497,0.7096889615058899,0.2903110384941101,0.3947746157646179,0.5515841245651245,0.15838292241096497,0.637342095375061,0.8058032989501953,0.9923555850982666,0.2903110384941101
12,0.13037878274917603,0.13037878274917603,0.7595422267913818,0.24045778810977936,0.3426571786403656,0.6136870384216309,0.13037878274917603,0.6674959063529968,0.8843933343887329,0.9927323460578918,0.24045778810977936,0.13323254883289337,0.13323254883289337,0.756121814250946,0.2438780814409256,0.3466271162033081,0.6086527705192566,0.13323254883289337,0.6838509440422058,0.8488033413887024,0.993440568447113,0.2438780814409256
13,0.11983422935009003,0.11983422935009003,0.779016375541687,0.22098392248153687,0.32172703742980957,0.639035701751709,0.11983422935009003,0.6987032890319824,0.8826906681060791,0.9937909841537476,0.22098392248153687,0.1251329928636551,0.1251329928636551,0.7719598412513733,0.2280401736497879,0.3295578062534332,0.6293985843658447,0.1251329928636551,0.6969748139381409,0.8665379285812378,0.9936678409576416,0.2280401736497879
14,0.1151343435049057,0.1151343509554863,0.7886793613433838,0.2113206386566162,0.3110051453113556,0.6522413492202759,0.1151343435049057,0.7153007388114929,0.881644070148468,0.9943055510520935,0.21132060885429382,0.12138153612613678,0.12138153612613678,0.7778103351593018,0.22218962013721466,0.3229735195636749,0.637581467628479,0.12138153612613678,0.7290189862251282,0.8365744948387146,0.9948074221611023,0.22218962013721466
15,0.10406417399644852,0.10406417399644852,0.8091605305671692,0.19083945453166962,0.28822389245033264,0.680300235748291,0.10406417399644852,0.748046875,0.8830245733261108,0.9951130747795105,0.190839484333992,0.11199063807725906,0.11199063807725906,0.7954956889152527,0.20450431108474731,0.3033049702644348,0.6617920398712158,0.11199063807725906,0.7648219466209412,0.8313952088356018,0.9957416653633118,0.20450431108474731
16,0.1000325009226799,0.1000325009226799,0.8177597522735596,0.18224018812179565,0.27832114696502686,0.692637026309967,0.1000325009226799,0.7632604241371155,0.8828461766242981,0.9955331683158875,0.18224018812179565,0.10413878411054611,0.10413877665996552,0.8102744817733765,0.1897253543138504,0.2869846522808075,0.6818187236785889,0.10413878411054611,0.7883265614509583,0.8347588181495667,0.9962558746337891,0.1897253543138504
17,0.09194052219390869,0.09194052219390869,0.8324224352836609,0.16757754981517792,0.2612720727920532,0.713877260684967,0.09194052219390869,0.7847566604614258,0.8885025382041931,0.9960134625434875,0.16757753491401672,0.09666392207145691,0.09666390717029572,0.8244773149490356,0.17552272975444794,0.27056190371513367,0.7022823095321655,0.09666392207145691,0.80706787109375,0.8442723751068115,0.9966261386871338,0.17552272975444794
18,0.08794005960226059,0.08794005960226059,0.8402179479598999,0.15978196263313293,0.2521911561489105,0.7252076864242554,0.08794005960226059,0.7997313141822815,0.8867643475532532,0.9963847398757935,0.15978194773197174,0.09770512580871582,0.09770511835813522,0.8242008686065674,0.17579923570156097,0.27079102396965027,0.7020244002342224,0.09770512580871582,0.7841617465019226,0.8708992600440979,0.9959972500801086,0.17579923570156097
19,0.08360226452350616,0.08360225707292557,0.8478807210922241,0.15211926400661469,0.24280227720737457,0.7369628548622131,0.08360226452350616,0.811302661895752,0.8893490433692932,0.9966404438018799,0.15211929380893707,0.09242197871208191,0.09242197871208191,0.8339729905128479,0.16602694988250732,0.25940439105033875,0.7162042260169983,0.09242197871208191,0.8312702775001526,0.8387376666069031,0.997151255607605,0.16602694988250732
20,0.08205003291368484,0.08205003291368484,0.8514901995658875,0.14850996434688568,0.23870967328548431,0.7420646548271179,0.08205003291368484,0.8194172382354736,0.8882425427436829,0.9967980980873108,0.14850996434688568,0.10279173403978348,0.10279175639152527,0.8166776895523071,0.18332234025001526,0.2788294553756714,0.6923345923423767,0.10279173403978348,0.8221801519393921,0.8150029182434082,0.997062087059021,0.18332229554653168
21,0.0797497034072876,0.0797497108578682,0.856256902217865,0.14374326169490814,0.23266787827014923,0.7496550679206848,0.0797497034072876,0.8285328149795532,0.8875885605812073,0.9969919323921204,0.14374326169490814,0.08565452694892883,0.08565452694892883,0.8465503454208374,0.15344968438148499,0.2446179986000061,0.7346585988998413,0.08565452694892883,0.8350935578346252,0.8595210313796997,0.9971568584442139,0.1534496694803238
22,0.0762123093008995,0.0762123093008995,0.8627699017524719,0.13722990453243256,0.22480148077011108,0.7594791650772095,0.0762123093008995,0.8382339477539062,0.8903830051422119,0.9972202181816101,0.13722990453243256,0.08292070031166077,0.08292070776224136,0.8514202833175659,0.14857959747314453,0.2389158308506012,0.7417989373207092,0.08292070031166077,0.8271386623382568,0.8782996535301208,0.9969273209571838,0.14857959747314453
23,0.07262285053730011,0.07262285053730011,0.869355320930481,0.1306445300579071,0.21672379970550537,0.7695898413658142,0.07262285053730011,0.8486087918281555,0.8924996256828308,0.9974069595336914,0.1306445300579071,0.07981821149587631,0.07981821894645691,0.8577395677566528,0.1422603279352188,0.23107701539993286,0.7516271471977234,0.07981821149587631,0.8556145429611206,0.8610894680023193,0.9975612163543701,0.1422603279352188
24,0.07131808251142502,0.07131808996200562,0.8718724250793457,0.12812760472297668,0.21335557103157043,0.7737751007080078,0.07131808251142502,0.8529155254364014,0.8929455876350403,0.9974931478500366,0.12812761962413788,0.08681832253932953,0.08681832998991013,0.8459961414337158,0.15400384366512299,0.24493032693862915,0.7343612909317017,0.08681832253932953,0.8643386960029602,0.8303636908531189,0.9978166222572327,0.15400384366512299
25,0.06896776705980301,0.06896776705980301,0.8765411972999573,0.12345860153436661,0.20757874846458435,0.7810032367706299,0.06896776705980301,0.8614838719367981,0.8933599591255188,0.9976809024810791,0.12345859408378601,0.07989004999399185,0.07989004999399185,0.8583558797836304,0.1416441947221756,0.22994373738765717,0.7530410289764404,0.07989004999399185,0.8548102378845215,0.8634659051895142,0.9975449442863464,0.1416441947221756
26,0.06775438040494919,0.06775437295436859,0.8785772323608398,0.121422678232193,0.20498494803905487,0.7842192053794861,0.06775438040494919,0.8643218278884888,0.8944972157478333,0.9977068901062012,0.1214226707816124,0.07802671194076538,0.07802671194076538,0.86150062084198,0.13849931955337524,0.2262737900018692,0.757637619972229,0.07802671194076538,0.8542994856834412,0.8701889514923096,0.9975137114524841,0.13849931955337524
27,0.0680408626794815,0.0680408626794815,0.8777645230293274,0.1222354993224144,0.2060854732990265,0.782862663269043,0.0680408626794815,0.8663164973258972,0.8905557990074158,0.9977903366088867,0.1222354918718338,0.13005076348781586,0.13005074858665466,0.7668238878250122,0.23317614197731018,0.3351442813873291,0.6225854754447937,0.13005076348781586,0.6932393908500671,0.8596295118331909,0.9936182498931885,0.23317615687847137
