epoch,bce_tversky_loss_metric,dice_bce_loss_metric,dice_coefficient,dice_loss_metric,focal_tversky_loss_metric,iou_score,loss,precision_metric,sensitivity,specificity,tversky_loss_metric,val_bce_tversky_loss_metric,val_dice_bce_loss_metric,val_dice_coefficient,val_dice_loss_metric,val_focal_tversky_loss_metric,val_iou_score,val_loss,val_precision_metric,val_sensitivity,val_specificity,val_tversky_loss_metric
0,0.48564568161964417,0.48564568161964417,0.14644068479537964,0.8535594940185547,0.8867969512939453,0.08238355070352554,0.48564568161964417,0.1595367044210434,0.18056590855121613,0.9625199437141418,0.8535594940185547,0.3678283393383026,0.3678283393383026,0.34727463126182556,0.6527252793312073,0.7257100939750671,0.2114412635564804,0.3678283393383026,0.39049309492111206,0.31613168120384216,0.9915656447410583,0.6527252793312073
1,0.3466513752937317,0.3466513752937317,0.38715073466300964,0.612849235534668,0.6915398240089417,0.2430986762046814,0.3466513752937317,0.43771713972091675,0.36726024746894836,0.9914427399635315,0.612849235534668,0.29444319009780884,0.29444319009780884,0.4907851815223694,0.5092148184776306,0.6018635630607605,0.32769203186035156,0.29444319009780884,0.48463666439056396,0.503000020980835,0.9908825755119324,0.5092148184776306
2,0.2849034070968628,0.2849034070968628,0.5017967820167542,0.4982031285762787,0.591832160949707,0.33802032470703125,0.2849034070968628,0.576569139957428,0.46554654836654663,0.9937755465507507,0.4982031285762787,0.24925120174884796,0.24925120174884796,0.5654420256614685,0.4345579445362091,0.5336230993270874,0.39822280406951904,0.24925120174884796,0.6671015024185181,0.49826619029045105,0.9958078265190125,0.4345579147338867
3,0.25558432936668396,0.25558432936668396,0.553519606590271,0.44648048281669617,0.5448392033576965,0.3861527144908905,0.25558432936668396,0.6340615153312683,0.5049564242362976,0.9949420690536499,0.44648048281669617,0.23580709099769592,0.23580709099769592,0.594024658203125,0.405975341796875,0.5072268843650818,0.4259004294872284,0.23580709099769592,0.5854977965354919,0.6084765791893005,0.9927765130996704,0.405975341796875
4,0.23502953350543976,0.23502954840660095,0.5902347564697266,0.4097653329372406,0.5107991099357605,0.422040194272995,0.23502953350543976,0.6749367713928223,0.5372443795204163,0.9955720901489258,0.4097653925418854,0.21905818581581116,0.21905818581581116,0.6229994893074036,0.37700051069259644,0.4794590473175049,0.4564345180988312,0.21905818581581116,0.6565002202987671,0.6008998155593872,0.9947705864906311,0.37700051069259644
5,0.22416961193084717,0.22416964173316956,0.6110931038856506,0.38890695571899414,0.4912460148334503,0.44299498200416565,0.22416961193084717,0.695462167263031,0.5553737282752991,0.9958696365356445,0.38890695571899414,0.2074756920337677,0.2074757069349289,0.638878345489502,0.36112159490585327,0.46394026279449463,0.4738721549510956,0.2074756920337677,0.753856360912323,0.5621241927146912,0.9969560503959656,0.36112162470817566
6,0.22613868117332458,0.22613868117332458,0.6076815724372864,0.39231863617897034,0.4935404062271118,0.4417313039302826,0.22613868117332458,0.6932636499404907,0.5545878410339355,0.9957444071769714,0.39231863617897034,0.21816065907478333,0.21816065907478333,0.624725341796875,0.375274658203125,0.47739073634147644,0.4592341184616089,0.21816065907478333,0.6562949419021606,0.6021510362625122,0.9947638511657715,0.375274658203125
7,0.21888776123523712,0.21888776123523712,0.6160085797309875,0.38399142026901245,0.48512110114097595,0.4516746401786804,0.21888776123523712,0.7112294435501099,0.5604156851768494,0.996054470539093,0.38399142026901245,0.20734725892543793,0.20734725892543793,0.6414174437522888,0.35858261585235596,0.46106892824172974,0.4775869846343994,0.20734725892543793,0.8076528906822205,0.5383763313293457,0.9978892803192139,0.35858261585235596
8,0.20816677808761597,0.20816677808761597,0.6376031637191772,0.3623967468738556,0.46536174416542053,0.4720306098461151,0.20816677808761597,0.7238054275512695,0.5791467428207397,0.9962573051452637,0.3623967468738556,0.20102976262569427,0.20102976262569427,0.6491516828536987,0.3508484363555908,0.4541194438934326,0.48464542627334595,0.20102976262569427,0.6938276886940002,0.6172366738319397,0.99549400806427,0.3508484363555908
9,0.20004306733608246,0.20004306733608246,0.6511041522026062,0.348895788192749,0.452087938785553,0.4870080351829529,0.20004306733608246,0.7356191277503967,0.5917819738388062,0.9964610934257507,0.348895788192749,0.1961297243833542,0.1961297243833542,0.660271406173706,0.3397286534309387,0.4426763951778412,0.49817341566085815,0.1961297243833542,0.7402583956718445,0.6043733358383179,0.9965154528617859,0.3397286534309387
