epoch,bce_tversky_loss_metric,dice_bce_loss_metric,dice_coefficient,dice_loss_metric,focal_tversky_loss_metric,iou_score,loss,precision_metric,sensitivity,specificity,tversky_loss_metric,val_bce_tversky_loss_metric,val_dice_bce_loss_metric,val_dice_coefficient,val_dice_loss_metric,val_focal_tversky_loss_metric,val_iou_score,val_loss,val_precision_metric,val_sensitivity,val_specificity,val_tversky_loss_metric
0,0.5446057319641113,0.5446057319641113,0.14787156879901886,0.8521283864974976,0.886504590511322,0.08094775676727295,0.5446057319641113,0.08279585838317871,0.7825246453285217,0.8161967396736145,0.8521283864974976,0.69767826795578,0.69767826795578,0.03189143165946007,0.9681084156036377,0.9759829640388489,0.016208983957767487,0.69767826795578,0.016740523278713226,0.34227362275123596,0.6594924330711365,0.9681084156036377
1,0.4211174249649048,0.4211174249649048,0.2562289237976074,0.743770956993103,0.8007383942604065,0.1473938226699829,0.4211174249649048,0.15095773339271545,0.8663981556892395,0.9190251231193542,0.743770956993103,0.572437047958374,0.572437047958374,0.030831851065158844,0.9691682457923889,0.9767842292785645,0.01566164195537567,0.572437047958374,0.017348062247037888,0.1408689171075821,0.8648086786270142,0.9691682457923889
2,0.3813219666481018,0.3813219666481018,0.3134610056877136,0.6865389347076416,0.7539835572242737,0.186521977186203,0.3813219666481018,0.19123847782611847,0.8865737915039062,0.9378718137741089,0.6865389347076416,0.5434657335281372,0.5434657335281372,0.028310727328062057,0.9716891646385193,0.9786893725395203,0.014362887479364872,0.5434657335281372,0.01757516898214817,0.0739133432507515,0.9299869537353516,0.9716891646385193
3,0.347248911857605,0.347248911857605,0.36803171038627625,0.6319682002067566,0.7084742188453674,0.2264024317264557,0.347248911857605,0.2329995334148407,0.8924930691719055,0.9511657357215881,0.6319682002067566,0.5365444421768188,0.5365444421768188,0.02450331673026085,0.9754966497421265,0.9815641045570374,0.012407728470861912,0.5365444421768188,0.016821961849927902,0.04575938358902931,0.9545543193817139,0.9754966497421265
4,0.3137492537498474,0.3137492537498474,0.4232156574726105,0.5767843723297119,0.6614866852760315,0.26939818263053894,0.3137492537498474,0.27863240242004395,0.8942534327507019,0.9617775082588196,0.5767843723297119,0.502407968044281,0.502407968044281,0.08041154593229294,0.9195883274078369,0.9389986991882324,0.0420672781765461,0.502407968044281,0.0593116320669651,0.12644509971141815,0.9664779901504517,0.9195883274078369
5,0.2808903753757477,0.2808903753757477,0.48095738887786865,0.5190426707267761,0.6110106706619263,0.3179483413696289,0.2808903753757477,0.33132702112197876,0.888970673084259,0.9702617526054382,0.5190426707267761,0.4325190782546997,0.4325190782546997,0.21482190489768982,0.7851780652999878,0.833675742149353,0.12155470252037048,0.4325190782546997,0.15784284472465515,0.3395104706287384,0.9695063233375549,0.7851780652999878
6,0.24948588013648987,0.24948588013648987,0.5373405814170837,0.46265941858291626,0.5604324340820312,0.3687765300273895,0.24948588013648987,0.38667982816696167,0.8914177417755127,0.976628839969635,0.46265941858291626,0.38778549432754517,0.38778549432754517,0.3123406767845154,0.6876593828201294,0.754590630531311,0.1866103559732437,0.38778549432754517,0.2259770929813385,0.5115659832954407,0.9704038500785828,0.6876593828201294
7,0.22068268060684204,0.22068268060684204,0.5896313190460205,0.41036853194236755,0.5122683644294739,0.4191928803920746,0.22068268060684204,0.44348081946372986,0.8859663009643555,0.9815786480903625,0.41036856174468994,0.39377617835998535,0.39377617835998535,0.33754557371139526,0.66245436668396,0.7338572144508362,0.2042372077703476,0.39377617835998535,0.22696897387504578,0.6685159802436829,0.9615185260772705,0.66245436668396
8,0.19664236903190613,0.19664236903190613,0.633406937122345,0.3665930926799774,0.47056615352630615,0.4648316204547882,0.19664236903190613,0.49566054344177246,0.8843212127685547,0.9851905703544617,0.3665930926799774,0.27452826499938965,0.27452826499938965,0.5115447044372559,0.48845532536506653,0.583594024181366,0.34547168016433716,0.27452826499938965,0.3894137442111969,0.7511165738105774,0.9801577925682068,0.48845532536506653
9,0.1755690574645996,0.1755690574645996,0.6734817028045654,0.3265182077884674,0.43133190274238586,0.5090888142585754,0.1755690574645996,0.5466678142547607,0.8831128478050232,0.9880343079566956,0.3265182375907898,0.18672345578670502,0.18672345578670502,0.6551445126533508,0.34485554695129395,0.4494141638278961,0.48853978514671326,0.18672345578670502,0.5596234798431396,0.7940159440040588,0.9895687699317932,0.34485554695129395
10,0.15453602373600006,0.15453605353832245,0.7133910059928894,0.28660881519317627,0.39115598797798157,0.5556551814079285,0.15453602373600006,0.6003149747848511,0.8831639289855957,0.9903416633605957,0.28660881519317627,0.187255397439003,0.187255397439003,0.6596804857254028,0.3403194546699524,0.44471073150634766,0.494161456823349,0.187255397439003,0.5416900515556335,0.8471553921699524,0.9879501461982727,0.3403194546699524
11,0.13983622193336487,0.13983622193336487,0.7409562468528748,0.25904381275177,0.36250197887420654,0.589698076248169,0.13983622193336487,0.6387139558792114,0.8864367604255676,0.9917828440666199,0.25904381275177,0.15190814435482025,0.15190814435482025,0.7223299145698547,0.27767014503479004,0.3817029893398285,0.5670339465141296,0.15190814435482025,0.657937228679657,0.8039458990097046,0.9930278658866882,0.27767014503479004
12,0.12880787253379822,0.12880787253379822,0.7618054747581482,0.23819470405578613,0.3402198553085327,0.616642951965332,0.12880787253379822,0.6720669865608215,0.8819675445556641,0.992983877658844,0.23819470405578613,0.1313285529613495,0.13132856786251068,0.7584039568901062,0.24159608781337738,0.34402531385421753,0.6119102835655212,0.1313285529613495,0.678558349609375,0.8609039783477783,0.993163526058197,0.2415960729122162
13,0.116861991584301,0.116861991584301,0.7848218083381653,0.21517826616764069,0.3154241442680359,0.6467356085777283,0.116861991584301,0.7068312764167786,0.8843324184417725,0.9939699769020081,0.21517826616764069,0.12708278000354767,0.12708276510238647,0.768795371055603,0.23120450973510742,0.33270248770713806,0.6257266402244568,0.12708278000354767,0.7087753415107727,0.8423529863357544,0.9941966533660889,0.23120450973510742
14,0.11228808015584946,0.11228808015584946,0.7941792011260986,0.20582091808319092,0.30509430170059204,0.6594240069389343,0.11228808015584946,0.7276563048362732,0.8765236735343933,0.9946445226669312,0.20582091808319092,0.1275942027568817,0.1275942176580429,0.7681224346160889,0.23187755048274994,0.33354151248931885,0.6246626377105713,0.1275942027568817,0.730068564414978,0.8125643134117126,0.9949801564216614,0.23187755048274994
15,0.10507391393184662,0.10507392138242722,0.8075204491615295,0.1924794763326645,0.2900233864784241,0.6781048774719238,0.10507391393184662,0.7499157190322876,0.8770914077758789,0.9952489733695984,0.1924794763326645,0.11253177374601364,0.11253177374601364,0.7960853576660156,0.2039145529270172,0.3028261065483093,0.6622815728187561,0.11253177374601364,0.7574176788330078,0.8404969573020935,0.9954988956451416,0.20391452312469482
16,0.09874431788921356,0.09874430298805237,0.8201075792312622,0.17989236116409302,0.27562475204467773,0.695986807346344,0.09874431788921356,0.7715805768966675,0.8769031167030334,0.9957422018051147,0.17989236116409302,0.10669393092393875,0.10669393092393875,0.8069227337837219,0.19307708740234375,0.29041436314582825,0.6777104139328003,0.10669393092393875,0.758146345615387,0.8646724224090576,0.995380163192749,0.19307710230350494
17,0.09413803368806839,0.09413803368806839,0.8293036222457886,0.1706961840391159,0.26478883624076843,0.7095270156860352,0.09413803368806839,0.7855222225189209,0.8801143169403076,0.9960600733757019,0.1706961989402771,0.10348226875066757,0.10348226875066757,0.8138362169265747,0.1861637681722641,0.28295814990997314,0.6868255734443665,0.10348226875066757,0.778005838394165,0.8551666140556335,0.9958988428115845,0.1861637681722641
18,0.09285499155521393,0.09285499155521393,0.8317871689796448,0.1682128757238388,0.2619146406650543,0.713098406791687,0.09285499155521393,0.7944551706314087,0.8751255869865417,0.9963322877883911,0.1682128757238388,0.10818759351968765,0.10818759351968765,0.8058232069015503,0.19417685270309448,0.2916203737258911,0.6762296557426453,0.10818759351968765,0.8069148063659668,0.8065142035484314,0.9967711567878723,0.19417685270309448
19,0.08629372715950012,0.08629372715950012,0.844106137752533,0.1558939516544342,0.24754565954208374,0.731007993221283,0.08629372715950012,0.8114761114120483,0.881418764591217,0.9966739416122437,0.155893936753273,0.08959390968084335,0.08959390968084335,0.8398605585098267,0.16013936698436737,0.2524052560329437,0.7249601483345032,0.08959390968084335,0.8232918381690979,0.858814001083374,0.9969059824943542,0.16013936698436737
20,0.07891221344470978,0.07891221344470978,0.8576937317848206,0.14230617880821228,0.23103627562522888,0.7516703009605408,0.07891221344470978,0.8276128172874451,0.8915826678276062,0.9969752430915833,0.14230620861053467,0.08921585977077484,0.08921587467193604,0.840263843536377,0.15973621606826782,0.25180548429489136,0.7257120609283447,0.08921585977077484,0.8296405076980591,0.8524655103683472,0.9970545768737793,0.15973621606826782
21,0.07889465987682343,0.07889465987682343,0.8579098582267761,0.14209026098251343,0.23066478967666626,0.7521489262580872,0.07889465987682343,0.8326084017753601,0.8862893581390381,0.9971213340759277,0.14209026098251343,0.09207046031951904,0.09207044541835785,0.8352975249290466,0.1647024154663086,0.25741463899612427,0.7187763452529907,0.09207046031951904,0.8372183442115784,0.835737943649292,0.9973024725914001,0.1647024154663086
22,0.07799788564443588,0.07799789309501648,0.8593894839286804,0.14061026275157928,0.2290116250514984,0.7542009353637695,0.07799788564443588,0.8370837569236755,0.8847639560699463,0.9972154498100281,0.1406102180480957,0.08497680723667145,0.08497678488492966,0.8487183451652527,0.15128158032894135,0.24174612760543823,0.7382845282554626,0.08497680723667145,0.8450511693954468,0.8543900847434998,0.9973639845848083,0.15128162503242493
