epoch,accuracy,auc_ovr,loss,overall_precision,overall_recall,val_accuracy,val_auc_ovr,val_loss,val_overall_precision,val_overall_recall
0,0.6129999756813049,0.8550112843513489,0.9653489589691162,0.698298454284668,0.5335000157356262,0.7929999828338623,0.9448134303092957,0.7237609028816223,0.9354275465011597,0.5360000133514404
1,0.7990000247955322,0.9441019296646118,0.5310115218162537,0.8371642231941223,0.7557500004768372,0.8560000061988831,0.9692166447639465,0.4596766531467438,0.9111111164093018,0.7789999842643738
2,0.8397499918937683,0.9625371694564819,0.4171173572540283,0.8676313161849976,0.809499979019165,0.8790000081062317,0.9786612391471863,0.3378133475780487,0.9100642204284668,0.8500000238418579
3,0.8652499914169312,0.972667396068573,0.3467620611190796,0.8860361576080322,0.8454999923706055,0.8970000147819519,0.982707679271698,0.2876090407371521,0.9125910401344299,0.8769999742507935
4,0.8834999799728394,0.9770869016647339,0.3144349157810211,0.8984903693199158,0.8629999756813049,0.9070000052452087,0.9862419366836548,0.24549709260463715,0.9184505343437195,0.9010000228881836
5,0.890250027179718,0.9823216199874878,0.2751096487045288,0.9043680429458618,0.874750018119812,0.9200000166893005,0.9885448217391968,0.22551079094409943,0.9258130192756653,0.9110000133514404
6,0.9042500257492065,0.985714852809906,0.24444273114204407,0.9176289439201355,0.8939999938011169,0.9229999780654907,0.9898382425308228,0.20702579617500305,0.9281376600265503,0.9169999957084656
7,0.9037500023841858,0.984989583492279,0.2449466437101364,0.9130101799964905,0.8947499990463257,0.9309999942779541,0.9915308952331543,0.19515131413936615,0.9333333373069763,0.9240000247955322
8,0.9167500138282776,0.9882904291152954,0.21702364087104797,0.9238410592079163,0.9067500233650208,0.9409999847412109,0.9926437139511108,0.17577235400676727,0.9415322542190552,0.9340000152587891
9,0.9267500042915344,0.991004228591919,0.18854472041130066,0.9321175217628479,0.9200000166893005,0.9430000185966492,0.9929520487785339,0.1669279783964157,0.9435483813285828,0.9359999895095825
10,0.9327499866485596,0.990816593170166,0.18926063179969788,0.9397253394126892,0.9237499833106995,0.9399999976158142,0.9929587244987488,0.1693291962146759,0.9434913992881775,0.9350000023841858
11,0.9332500100135803,0.9924614429473877,0.1690223515033722,0.9387496709823608,0.9272500276565552,0.9399999976158142,0.9939301609992981,0.15873415768146515,0.9427135586738586,0.9380000233650208
12,0.9397500157356262,0.9937012195587158,0.15694738924503326,0.9434343576431274,0.9340000152587891,0.9419999718666077,0.9945562481880188,0.14870725572109222,0.9456740617752075,0.9399999976158142
13,0.9390000104904175,0.9928566217422485,0.16005758941173553,0.9441354870796204,0.9337499737739563,0.9480000138282776,0.995012104511261,0.13838845491409302,0.9497991800308228,0.9459999799728394
14,0.9512500166893005,0.9948610663414001,0.13711410760879517,0.9555779695510864,0.9465000033378601,0.9470000267028809,0.9952533841133118,0.13644006848335266,0.9485887289047241,0.9409999847412109
15,0.9487500190734863,0.994611382484436,0.14291226863861084,0.9525492191314697,0.9434999823570251,0.9470000267028809,0.995773434638977,0.12958233058452606,0.9487437009811401,0.9440000057220459
16,0.9480000138282776,0.9948432445526123,0.13677549362182617,0.9511212110519409,0.9437500238418579,0.9440000057220459,0.995466947555542,0.1327168345451355,0.9467871189117432,0.9430000185966492
17,0.9539999961853027,0.9961322546005249,0.1231183335185051,0.9571680426597595,0.9497500061988831,0.949999988079071,0.995790958404541,0.12692710757255554,0.9518072009086609,0.9480000138282776
18,0.9559999704360962,0.9964298009872437,0.11816722899675369,0.9589937329292297,0.953000009059906,0.949999988079071,0.9960672855377197,0.12174133956432343,0.9508032202720642,0.9470000267028809
19,0.9605000019073486,0.9971431493759155,0.1074739322066307,0.9638100266456604,0.9587500095367432,0.953000009059906,0.9965952634811401,0.1136443167924881,0.9557788968086243,0.9509999752044678
20,0.956250011920929,0.9968655109405518,0.11046233773231506,0.9592657685279846,0.9537500143051147,0.949999988079071,0.9964417219161987,0.11756420880556107,0.9537688493728638,0.9490000009536743
21,0.965749979019165,0.997870147228241,0.09080584347248077,0.9680824279785156,0.9629999995231628,0.9480000138282776,0.9965821504592896,0.11829268932342529,0.9478957653045654,0.9459999799728394
22,0.9610000252723694,0.9971795082092285,0.09972339123487473,0.9630838632583618,0.9587500095367432,0.9549999833106995,0.9968641996383667,0.11287765949964523,0.9577889442443848,0.953000009059906
23,0.9627500176429749,0.9972492456436157,0.09898785501718521,0.9633809924125671,0.9602500200271606,0.953000009059906,0.9965343475341797,0.1144382581114769,0.9539539813995361,0.953000009059906
24,0.9620000123977661,0.9974932670593262,0.09375988692045212,0.9653179049491882,0.9602500200271606,0.9559999704360962,0.9970830678939819,0.1094161868095398,0.9587939977645874,0.9539999961853027
25,0.9707499742507935,0.9979777336120605,0.08253581821918488,0.9724310636520386,0.9700000286102295,0.9570000171661377,0.9973485469818115,0.10125400125980377,0.9588353633880615,0.9549999833106995
26,0.9670000076293945,0.9981419444084167,0.08580496162176132,0.968397319316864,0.9652500152587891,0.9599999785423279,0.9972283840179443,0.10278201848268509,0.9619238376617432,0.9599999785423279
27,0.9700000286102295,0.9979219436645508,0.08284039795398712,0.9704408645629883,0.968500018119812,0.9639999866485596,0.9975545406341553,0.09739610552787781,0.9649649858474731,0.9639999866485596
28,0.9695000052452087,0.9978847503662109,0.08580672740936279,0.9716507792472839,0.9682499766349792,0.9570000171661377,0.9971410036087036,0.10539019107818604,0.9608433842658997,0.9570000171661377
29,0.9677500128746033,0.9982172250747681,0.08413306623697281,0.9703666567802429,0.9660000205039978,0.9620000123977661,0.9974584579467773,0.0996585264801979,0.9629629850387573,0.9620000123977661
30,0.972000002861023,0.9985864758491516,0.07215214520692825,0.9741595387458801,0.9707499742507935,0.9610000252723694,0.9976707100868225,0.09442318975925446,0.9628886580467224,0.9599999785423279
31,0.9754999876022339,0.9986011385917664,0.07038586586713791,0.9769481420516968,0.9747499823570251,0.9629999995231628,0.9975141882896423,0.09874401986598969,0.9658976793289185,0.9629999995231628
