epoch,accuracy,auc_ovr,loss,overall_precision,overall_recall,val_accuracy,val_auc_ovr,val_loss,val_overall_precision,val_overall_recall
0,0.5697500109672546,0.8154948353767395,1.0152029991149902,0.6571125388145447,0.46424999833106995,0.7749999761581421,0.9388624429702759,0.7789143323898315,0.9054820537567139,0.4790000021457672
1,0.7492499947547913,0.9222753643989563,0.6282035112380981,0.7943201661109924,0.6922500133514404,0.8299999833106995,0.9610410928726196,0.5028209090232849,0.8832547068595886,0.7490000128746033
2,0.7897499799728394,0.9410101175308228,0.5373839735984802,0.8178093433380127,0.7484999895095825,0.847000002861023,0.9715068340301514,0.3906923234462738,0.881465494632721,0.8180000185966492
3,0.8117499947547913,0.951392650604248,0.48186105489730835,0.8406888842582703,0.781000018119812,0.8579999804496765,0.9740270376205444,0.3585331439971924,0.8736951947212219,0.8370000123977661
4,0.8259999752044678,0.9559577703475952,0.4496639668941498,0.853003740310669,0.8022500276565552,0.8679999709129333,0.976935088634491,0.3351210653781891,0.8842975497245789,0.8560000061988831
5,0.8240000009536743,0.9569703340530396,0.4419615864753723,0.8412446975708008,0.7975000143051147,0.8759999871253967,0.9802905917167664,0.30515483021736145,0.8934850096702576,0.8640000224113464
6,0.8507500290870667,0.9669198393821716,0.386117160320282,0.8674856424331665,0.8297500014305115,0.8840000033378601,0.9821246862411499,0.2953895330429077,0.892307698726654,0.8700000047683716
7,0.8522499799728394,0.9689371585845947,0.3704507350921631,0.8706986308097839,0.8349999785423279,0.8769999742507935,0.9832538962364197,0.2928006649017334,0.8911704421043396,0.8679999709129333
8,0.859749972820282,0.9713746309280396,0.3506661057472229,0.8756490349769592,0.8432499766349792,0.8889999985694885,0.9849161505699158,0.27193713188171387,0.9036885499954224,0.8820000290870667
9,0.8669999837875366,0.9720787405967712,0.3443744480609894,0.881136953830719,0.8525000214576721,0.8920000195503235,0.9862414598464966,0.26010778546333313,0.9011213183403015,0.8840000033378601
10,0.8684999942779541,0.9737945199012756,0.3321667015552521,0.8826714754104614,0.8557500243186951,0.890999972820282,0.9863524436950684,0.2566249668598175,0.8938321471214294,0.8840000033378601
11,0.8807500004768372,0.9770262837409973,0.3080346882343292,0.8921011686325073,0.8640000224113464,0.8980000019073486,0.9876112937927246,0.24689194560050964,0.904276967048645,0.8880000114440918
12,0.8855000138282776,0.9767614006996155,0.3063782751560211,0.8942505121231079,0.8709999918937683,0.8980000019073486,0.9882333874702454,0.2443469613790512,0.9067623019218445,0.8849999904632568
13,0.8757500052452087,0.9787951111793518,0.2961695194244385,0.8874359130859375,0.8652499914169312,0.9020000100135803,0.9893314242362976,0.2324988842010498,0.9047619104385376,0.8930000066757202
14,0.8914999961853027,0.9802145957946777,0.2825471758842468,0.8998978734016418,0.8809999823570251,0.9079999923706055,0.9904211759567261,0.2148270606994629,0.9163265228271484,0.8980000019073486
15,0.8922500014305115,0.9810599088668823,0.2772112190723419,0.9020960927009583,0.8822500109672546,0.9049999713897705,0.9900862574577332,0.21960513293743134,0.9107505083084106,0.8980000019073486
16,0.8952500224113464,0.9827460050582886,0.2629442512989044,0.905453622341156,0.8882499933242798,0.9110000133514404,0.9902689456939697,0.21611329913139343,0.9126903414726257,0.8989999890327454
17,0.8999999761581421,0.9844424724578857,0.2517981231212616,0.9088588356971741,0.8899999856948853,0.9129999876022339,0.9909506440162659,0.21308009326457977,0.9205702543258667,0.9039999842643738
18,0.8987500071525574,0.9844390153884888,0.2509647309780121,0.903611421585083,0.8882499933242798,0.9269999861717224,0.9906381964683533,0.20084497332572937,0.9274193644523621,0.9200000166893005
19,0.909250020980835,0.9857298135757446,0.2375320941209793,0.9156075119972229,0.9004999995231628,0.9269999861717224,0.9915099740028381,0.1931735724210739,0.931034505367279,0.9179999828338623
20,0.903249979019165,0.9861734509468079,0.23706817626953125,0.911263644695282,0.8960000276565552,0.9279999732971191,0.9913643598556519,0.202224001288414,0.9303733706474304,0.921999990940094
21,0.9110000133514404,0.9860385656356812,0.2324807047843933,0.9163073897361755,0.903249979019165,0.921999990940094,0.9920868873596191,0.19120705127716064,0.9282828569412231,0.9190000295639038
22,0.9127500057220459,0.9864779710769653,0.23028510808944702,0.9168146252632141,0.9037500023841858,0.9190000295639038,0.9914097785949707,0.2049492597579956,0.9192734360694885,0.9110000133514404
23,0.9122499823570251,0.9867108464241028,0.23001433908939362,0.9191381335258484,0.906499981880188,0.9340000152587891,0.9919885396957397,0.18653808534145355,0.9354838728904724,0.9279999732971191
24,0.9117500185966492,0.9870343208312988,0.22108542919158936,0.9188435077667236,0.9057499766349792,0.9309999942779541,0.9927737712860107,0.17643126845359802,0.9335347414016724,0.9269999861717224
25,0.9157500267028809,0.9870989322662354,0.22169364988803864,0.922160267829895,0.909250020980835,0.9350000023841858,0.992862343788147,0.1798558235168457,0.9385080933570862,0.9309999942779541
26,0.9172499775886536,0.9878726601600647,0.2172708809375763,0.923621654510498,0.9129999876022339,0.9350000023841858,0.9933633804321289,0.1703459620475769,0.9385080933570862,0.9309999942779541
27,0.9207500219345093,0.9892428517341614,0.2019224315881729,0.92457115650177,0.9162499904632568,0.9350000023841858,0.9930440187454224,0.17336106300354004,0.9373737573623657,0.9279999732971191
28,0.9182500243186951,0.9894634485244751,0.20127657055854797,0.9247720241546631,0.9127500057220459,0.9359999895095825,0.9938164949417114,0.16305498778820038,0.9403437972068787,0.9300000071525574
29,0.9257500171661377,0.9910164475440979,0.1901530921459198,0.932624101638794,0.9204999804496765,0.9399999976158142,0.9941116571426392,0.15642035007476807,0.9417670965194702,0.9380000233650208
30,0.9272500276565552,0.9907596111297607,0.1863824427127838,0.9325416684150696,0.9227499961853027,0.9330000281333923,0.9940903782844543,0.16783280670642853,0.9366834163665771,0.9319999814033508
31,0.9235000014305115,0.9910062551498413,0.18972475826740265,0.9306504726409912,0.9192500114440918,0.9340000152587891,0.9940578937530518,0.16876734793186188,0.9375,0.9300000071525574
