epoch,accuracy,auc_ovr,loss,overall_precision,overall_recall,val_accuracy,val_auc_ovr,val_loss,val_overall_precision,val_overall_recall
0,0.6302499771118164,0.8528498411178589,0.9132739901542664,0.7235716581344604,0.5287500023841858,0.8209999799728394,0.9536237716674805,0.6220974922180176,0.9104278087615967,0.6809999942779541
1,0.8270000219345093,0.9571503400802612,0.46652427315711975,0.8718161582946777,0.7872499823570251,0.8640000224113464,0.9683576822280884,0.4074026346206665,0.8971861600875854,0.8289999961853027
2,0.8575000166893005,0.9687910079956055,0.3791726231575012,0.8803170323371887,0.8330000042915344,0.8930000066757202,0.976612389087677,0.33081573247909546,0.9081419706344604,0.8700000047683716
3,0.8822500109672546,0.9770841598510742,0.3187064826488495,0.9004430770874023,0.8637499809265137,0.9020000100135803,0.9807758331298828,0.28753039240837097,0.9143446683883667,0.8859999775886536
4,0.8957499861717224,0.981924295425415,0.28069257736206055,0.9101501703262329,0.8787500262260437,0.9169999957084656,0.983443558216095,0.25978928804397583,0.9262295365333557,0.9039999842643738
5,0.9072499871253967,0.9853857755661011,0.245670884847641,0.9192178845405579,0.8932499885559082,0.9179999828338623,0.9863803386688232,0.23618339002132416,0.9205702543258667,0.9039999842643738
6,0.9204999804496765,0.9878675937652588,0.22049115598201752,0.9273004531860352,0.9120000004768372,0.925000011920929,0.9878053665161133,0.22334210574626923,0.9308239817619324,0.9150000214576721
7,0.9202499985694885,0.98919677734375,0.20828764140605927,0.9284623265266418,0.9117500185966492,0.9259999990463257,0.9897543787956238,0.21128717064857483,0.932721734046936,0.9150000214576721
8,0.9302499890327454,0.9920902252197266,0.18103352189064026,0.9378172755241394,0.9237499833106995,0.9359999895095825,0.9902862906455994,0.20049814879894257,0.9391480684280396,0.9259999990463257
9,0.9424999952316284,0.9934571981430054,0.16157488524913788,0.9459732174873352,0.9367499947547913,0.9380000233650208,0.9910531044006348,0.18668626248836517,0.9404040575027466,0.9309999942779541
10,0.937749981880188,0.9936245679855347,0.16045327484607697,0.9423806071281433,0.9322500228881836,0.9390000104904175,0.9908990859985352,0.18674834072589874,0.9423660039901733,0.9319999814033508
11,0.9467499852180481,0.995271623134613,0.1391788274049759,0.9510718584060669,0.9427499771118164,0.9440000057220459,0.9915875196456909,0.17604954540729523,0.9475806355476379,0.9399999976158142
12,0.9555000066757202,0.9952408671379089,0.1328602284193039,0.9593844413757324,0.9507499933242798,0.9419999718666077,0.9924499988555908,0.16562776267528534,0.9493927359580994,0.9380000233650208
13,0.9572499990463257,0.9961852431297302,0.12077751755714417,0.9611601233482361,0.952750027179718,0.9490000009536743,0.9925504326820374,0.16774103045463562,0.9507537484169006,0.9459999799728394
14,0.9564999938011169,0.9960893392562866,0.12189947813749313,0.9587732553482056,0.953499972820282,0.9480000138282776,0.992763102054596,0.1534978449344635,0.9517102837562561,0.9459999799728394
15,0.9572499990463257,0.9968909025192261,0.1109737828373909,0.9602915048599243,0.9552500247955322,0.9509999752044678,0.9928953051567078,0.14917686581611633,0.9527637958526611,0.9480000138282776
16,0.9637500047683716,0.9972118139266968,0.10406699776649475,0.9661229848861694,0.9624999761581421,0.949999988079071,0.9933856725692749,0.1516355723142624,0.9527637958526611,0.9480000138282776
17,0.9617499709129333,0.9970505833625793,0.10418915748596191,0.9650753736495972,0.9602500200271606,0.9520000219345093,0.9925650954246521,0.14676275849342346,0.9548192620277405,0.9509999752044678
18,0.9722499847412109,0.9985181093215942,0.0784529447555542,0.974107563495636,0.96875,0.9549999833106995,0.9943683743476868,0.14118045568466187,0.95586758852005,0.953000009059906
19,0.9714999794960022,0.9980741739273071,0.0831027552485466,0.9736445546150208,0.9697499871253967,0.9580000042915344,0.9934093356132507,0.14437586069107056,0.9588766098022461,0.9559999704360962
