epoch,accuracy,auc_ovr,loss,overall_precision,overall_recall,val_accuracy,val_auc_ovr,val_loss,val_overall_precision,val_overall_recall
0,0.500249981880188,0.7529954314231873,1.2007672786712646,0.5827839970588684,0.37575000524520874,0.656000018119812,0.90183424949646,0.9146229028701782,0.7173051238059998,0.5429999828338623
1,0.7242500185966492,0.9076065421104431,0.6989738345146179,0.7898796796798706,0.6399999856948853,0.8130000233650208,0.9485246539115906,0.5380886197090149,0.853881299495697,0.7480000257492065
2,0.7667499780654907,0.9322924613952637,0.583962082862854,0.8131930828094482,0.7149999737739563,0.8460000157356262,0.9618335962295532,0.4405701458454132,0.8778625726699829,0.8050000071525574
3,0.8195000290870667,0.9536690711975098,0.4739964008331299,0.8510176539421082,0.7839999794960022,0.8640000224113464,0.967166006565094,0.3995051681995392,0.88210529088974,0.8379999995231628
4,0.8360000252723694,0.9604636430740356,0.4290502369403839,0.8579394817352295,0.8077499866485596,0.878000020980835,0.97076416015625,0.3683983087539673,0.8912134170532227,0.8519999980926514
5,0.8497499823570251,0.9669002890586853,0.39220696687698364,0.8740386962890625,0.8240000009536743,0.890999972820282,0.9734718203544617,0.3451559543609619,0.8992730975151062,0.8659999966621399
6,0.8600000143051147,0.9722543358802795,0.35484299063682556,0.8802301287651062,0.8414999842643738,0.8970000147819519,0.9764118790626526,0.3167109191417694,0.9071207642555237,0.8790000081062317
7,0.8709999918937683,0.9755475521087646,0.32984766364097595,0.8886581659317017,0.8560000061988831,0.9039999842643738,0.9778088927268982,0.3054157495498657,0.9078812599182129,0.8870000243186951
8,0.8774999976158142,0.9759992361068726,0.3248123526573181,0.8920454382896423,0.8634999990463257,0.9070000052452087,0.9792224168777466,0.2976604700088501,0.9117646813392639,0.8989999890327454
9,0.8867499828338623,0.9803081750869751,0.2916027903556824,0.9012377262115479,0.8737499713897705,0.9100000262260437,0.9808622598648071,0.27836376428604126,0.9137930870056152,0.9010000228881836
10,0.8855000138282776,0.9799231290817261,0.2960309386253357,0.8995116949081421,0.875,0.9139999747276306,0.9823265671730042,0.25966718792915344,0.9187816977500916,0.9049999713897705
11,0.8912500143051147,0.9810776710510254,0.28193768858909607,0.9022324681282043,0.8790000081062317,0.9160000085830688,0.982617974281311,0.2561115324497223,0.9192734360694885,0.9110000133514404
12,0.8952500224113464,0.983306348323822,0.26346150040626526,0.9043233394622803,0.8837500214576721,0.9150000214576721,0.9831867814064026,0.2512294054031372,0.9220647811889648,0.9110000133514404
13,0.9077500104904175,0.986051082611084,0.2412208914756775,0.915773332118988,0.8970000147819519,0.9169999957084656,0.9838910698890686,0.24898040294647217,0.9250253438949585,0.9129999876022339
14,0.9057499766349792,0.9866224527359009,0.23855669796466827,0.9131988883018494,0.8942499756813049,0.9200000166893005,0.9847471117973328,0.23359300196170807,0.9271255135536194,0.9160000085830688
15,0.9162499904632568,0.9886252284049988,0.2131475806236267,0.9243462681770325,0.9102500081062317,0.9269999861717224,0.9844855666160583,0.2331427037715912,0.931313157081604,0.921999990940094
16,0.9185000061988831,0.9881380796432495,0.21531851589679718,0.9240121841430664,0.9120000004768372,0.9229999780654907,0.9856016635894775,0.2257663607597351,0.9301619529724121,0.9190000295639038
17,0.9200000166893005,0.9885430335998535,0.21342988312244415,0.9268478751182556,0.9122499823570251,0.9269999861717224,0.9855706095695496,0.22608241438865662,0.9332659244537354,0.9229999780654907
18,0.9202499985694885,0.9900027513504028,0.2036527544260025,0.9270147085189819,0.9144999980926514,0.925000011920929,0.9872620701789856,0.214283749461174,0.9284273982048035,0.9210000038146973
19,0.9275000095367432,0.9901716709136963,0.19571617245674133,0.9329792857170105,0.922249972820282,0.925000011920929,0.9872856140136719,0.21340036392211914,0.9295774698257446,0.9240000247955322
20,0.9237499833106995,0.9904227256774902,0.19250425696372986,0.930964469909668,0.9169999957084656,0.9259999990463257,0.9876770377159119,0.21051420271396637,0.9286432266235352,0.9240000247955322
21,0.9235000014305115,0.9911884665489197,0.18810820579528809,0.9320956468582153,0.9162499904632568,0.9259999990463257,0.9885172843933105,0.20219582319259644,0.9315206408500671,0.925000011920929
22,0.9302499890327454,0.9917318820953369,0.18218763172626495,0.9355572462081909,0.9254999756813049,0.9290000200271606,0.9892085194587708,0.1989208608865738,0.9316582679748535,0.9269999861717224
23,0.9352499842643738,0.9933855533599854,0.16653013229370117,0.9410424828529358,0.9297500252723694,0.9290000200271606,0.988950252532959,0.20281758904457092,0.9307228922843933,0.9269999861717224
24,0.9384999871253967,0.9916448593139648,0.17432750761508942,0.9422882795333862,0.9347500205039978,0.9319999814033508,0.9895713329315186,0.19485202431678772,0.9338677525520325,0.9319999814033508
25,0.9319999814033508,0.9923614859580994,0.17391391098499298,0.9361916780471802,0.9279999732971191,0.9300000071525574,0.990671694278717,0.19324102997779846,0.9309309124946594,0.9300000071525574
26,0.9445000290870667,0.9937130212783813,0.15274782478809357,0.9478589296340942,0.940750002861023,0.9340000152587891,0.9909327030181885,0.1904611885547638,0.935742974281311,0.9319999814033508
27,0.9467499852180481,0.994725227355957,0.14500482380390167,0.9507948756217957,0.9419999718666077,0.9350000023841858,0.9908888936042786,0.18132267892360687,0.9367470145225525,0.9330000281333923
28,0.9447500109672546,0.9946468472480774,0.1455211043357849,0.9473419189453125,0.9399999976158142,0.9330000281333923,0.9908080697059631,0.1933104395866394,0.9337349534034729,0.9300000071525574
29,0.949999988079071,0.9949009418487549,0.13958290219306946,0.9521892070770264,0.9459999799728394,0.9350000023841858,0.9907857179641724,0.18920283019542694,0.9368104338645935,0.9340000152587891
