epoch,accuracy,auc_ovr,loss,overall_precision,overall_recall,val_accuracy,val_auc_ovr,val_loss,val_overall_precision,val_overall_recall
0,0.590499997138977,0.8305352330207825,1.004541039466858,0.6783989071846008,0.49149999022483826,0.7519999742507935,0.9344325661659241,0.6535286903381348,0.8474358916282654,0.6610000133514404
1,0.768750011920929,0.9301266074180603,0.6042723059654236,0.8198793530464172,0.7135000228881836,0.8180000185966492,0.9563936591148376,0.49226734042167664,0.8623853325843811,0.7519999742507935
2,0.8137500286102295,0.9526722431182861,0.48246070742607117,0.8487074971199036,0.7797499895095825,0.8349999785423279,0.9643763303756714,0.42677801847457886,0.8583599328994751,0.8059999942779541
3,0.8387500047683716,0.9627206921577454,0.4219823181629181,0.8619771003723145,0.8087499737739563,0.8500000238418579,0.9706920981407166,0.3801063597202301,0.867432177066803,0.8309999704360962
4,0.8600000143051147,0.9708265066146851,0.3640036880970001,0.8817967176437378,0.8392500281333923,0.8529999852180481,0.9753484725952148,0.3468256890773773,0.8697000741958618,0.8410000205039978
5,0.8797500133514404,0.9760526418685913,0.32605859637260437,0.8969823122024536,0.8619999885559082,0.8709999918937683,0.9794564247131348,0.31591349840164185,0.8863636255264282,0.8579999804496765
6,0.8859999775886536,0.9813071489334106,0.2878791391849518,0.903442919254303,0.8725000023841858,0.8830000162124634,0.9813013076782227,0.29878491163253784,0.8958762884140015,0.8690000176429749
7,0.8927500247955322,0.9818099141120911,0.2799079716205597,0.9044306874275208,0.8777499794960022,0.8899999856948853,0.9842946529388428,0.28055980801582336,0.8991769552230835,0.8740000128746033
8,0.9027500152587891,0.9852675199508667,0.2521747052669525,0.9144905209541321,0.8930000066757202,0.8949999809265137,0.985878586769104,0.2571696937084198,0.9052953124046326,0.8889999985694885
9,0.9077500104904175,0.9854265451431274,0.2469937801361084,0.9173723459243774,0.893750011920929,0.9079999923706055,0.987794816493988,0.24131980538368225,0.9173469543457031,0.8989999890327454
10,0.9150000214576721,0.9875408411026001,0.22599507868289948,0.923331618309021,0.90625,0.9100000262260437,0.9883232712745667,0.23814739286899567,0.9172624945640564,0.8980000019073486
11,0.9294999837875366,0.9901183247566223,0.2003905028104782,0.9353284239768982,0.921999990940094,0.9160000085830688,0.9904146194458008,0.21354342997074127,0.9245667457580566,0.9070000052452087
12,0.9290000200271606,0.9922993183135986,0.17998884618282318,0.936170220375061,0.9240000247955322,0.9200000166893005,0.9915780425071716,0.20325914025306702,0.9249492883682251,0.9120000004768372
13,0.9315000176429749,0.9925304651260376,0.17642033100128174,0.9390863180160522,0.925000011920929,0.9210000038146973,0.9913644790649414,0.2089332491159439,0.9271255135536194,0.9160000085830688
14,0.9359999895095825,0.9922206401824951,0.17467278242111206,0.9412658214569092,0.9294999837875366,0.9190000295639038,0.9914809465408325,0.2071647047996521,0.9230769276618958,0.9120000004768372
15,0.9337499737739563,0.9928028583526611,0.1721636950969696,0.9387186765670776,0.9267500042915344,0.9210000038146973,0.992211103439331,0.1963285654783249,0.9234642386436462,0.9169999957084656
16,0.9382500052452087,0.994328498840332,0.15521472692489624,0.9447821974754333,0.9325000047683716,0.925000011920929,0.9930818676948547,0.1831989288330078,0.9264854192733765,0.9200000166893005
17,0.9455000162124634,0.9947157502174377,0.14712119102478027,0.9512379765510559,0.9412500262260437,0.9309999942779541,0.9935305714607239,0.1769390106201172,0.9344757795333862,0.9269999861717224
18,0.9512500166893005,0.9952765703201294,0.1354210078716278,0.9563131332397461,0.9467499852180481,0.9330000281333923,0.9942836761474609,0.1642186939716339,0.9345418214797974,0.9279999732971191
19,0.9455000162124634,0.9945474863052368,0.1427336037158966,0.9488664865493774,0.9417499899864197,0.9359999895095825,0.9937793612480164,0.1706259697675705,0.9395161271095276,0.9319999814033508
20,0.949999988079071,0.9956596493721008,0.12857531011104584,0.9536873698234558,0.9472500085830688,0.9369999766349792,0.9945838451385498,0.15934105217456818,0.9386317729949951,0.9330000281333923
21,0.9577500224113464,0.9959684610366821,0.12419644743204117,0.9621880650520325,0.9542499780654907,0.9309999942779541,0.9944873452186584,0.16397231817245483,0.9355488419532776,0.9290000200271606
22,0.9524999856948853,0.9956701993942261,0.12607967853546143,0.9542138576507568,0.9482499957084656,0.9359999895095825,0.9948588013648987,0.15511192381381989,0.9376884698867798,0.9330000281333923
23,0.9599999785423279,0.9970344305038452,0.11048045009374619,0.9620507955551147,0.9570000171661377,0.9390000104904175,0.9944580793380737,0.15740801393985748,0.940643846988678,0.9350000023841858
24,0.9572499990463257,0.9965818524360657,0.11405430734157562,0.9595070481300354,0.9537500143051147,0.9399999976158142,0.9951134920120239,0.14892132580280304,0.9407035112380981,0.9359999895095825
25,0.9592499732971191,0.9964936375617981,0.10669156163930893,0.9611138701438904,0.9577500224113464,0.9390000104904175,0.9953746795654297,0.14592643082141876,0.9398194551467896,0.9369999766349792
26,0.9614999890327454,0.997525691986084,0.09991595149040222,0.9645372033119202,0.9587500095367432,0.9430000185966492,0.9951878786087036,0.1405109018087387,0.9458374977111816,0.9430000185966492
27,0.9607499837875366,0.9970568418502808,0.10450498759746552,0.9638100266456604,0.9587500095367432,0.9409999847412109,0.9954336881637573,0.13891522586345673,0.9447236061096191,0.9399999976158142
28,0.9682499766349792,0.9981513023376465,0.08836650848388672,0.9705660343170166,0.9645000100135803,0.9409999847412109,0.9952234625816345,0.1434226930141449,0.9409409165382385,0.9399999976158142
29,0.968500018119812,0.997757613658905,0.08781150728464127,0.970381498336792,0.9664999842643738,0.9449999928474426,0.9956308603286743,0.14320115745067596,0.9449449181556702,0.9440000057220459
30,0.9697499871253967,0.9984214901924133,0.08193130791187286,0.9711779356002808,0.96875,0.9459999799728394,0.9953536987304688,0.13790857791900635,0.9467871189117432,0.9430000185966492
